user_id,baseline_mean_ms,baseline_std_ms
user_000,244.54695,219.14503788992562
user_001,223.27767500000002,162.0779856996796
user_002,213.527475,171.61041634431479
user_003,188.05974999999998,141.76380027570167
user_004,214.1571388888889,184.39392215883134
user_005,219.92488636363635,212.96393867042121
user_006,225.01355,139.94452589944544
user_007,237.32427777777778,156.764315906198
user_008,221.55374999999998,186.07604490686964
user_009,219.60177272727273,145.87293991235174
user_010,295.54150000000004,232.83753073236247
user_011,220.16429545454545,185.84860940119782
user_012,216.44893181818182,198.31982146146058
user_013,238.38340909090908,174.9719991649193
user_014,202.21990000000002,203.08392449912157
user_015,237.658825,168.6742850762508
user_016,226.5097,248.122876329057
user_017,204.252025,148.8590208919219
user_018,189.4385909090909,237.97957576615025
user_019,258.62399999999997,201.60127447304782
user_020,227.55765,217.26933393174787
user_021,199.58675,159.39640930009878
user_022,170.44066666666666,164.121055380024
user_023,229.43188888888886,232.02599256777847
user_024,177.95411363636364,134.0923889392017
user_025,248.2516666666667,197.3554556142906
user_026,241.53204545454545,180.51094929756397
user_027,220.32247222222222,177.66171600696535
user_028,206.72947222222223,177.82009758542955
user_029,210.2643888888889,221.46695286126402
user_030,167.481,231.37465353669475
user_031,210.76767500000003,249.60133948664665
user_032,162.97575,200.17332278158983
user_033,196.63075,169.83587526124123
user_034,189.22688888888888,207.84824815754473
user_035,257.777975,186.8475240637972
user_036,253.3295277777778,185.82715757834828
user_037,237.81572727272726,205.01671778695263
user_038,289.295225,207.6890445884291
user_039,246.80713888888886,208.89430071759404
