user_id,session_id,label,key_index,inter_key_ms,dwell_ms,is_backspace,is_error
user_000,user_000_s00,0,0,216.95,90.48,0,0
user_000,user_000_s00,0,1,168.28,95.26,0,0
user_000,user_000_s00,0,2,213.33,115.76,0,0
user_000,user_000_s00,0,3,164.63,96.61,0,0
user_000,user_000_s00,0,4,232.02,104.34,0,0
user_000,user_000_s00,0,5,197.97,128.95,0,0
user_000,user_000_s00,0,6,193.02,104.66,0,0
user_000,user_000_s00,0,7,174.83,120.71,0,0
user_000,user_000_s00,0,8,244.64,96.19,0,0
user_000,user_000_s00,0,9,194.13,106.88,0,0
user_000,user_000_s00,0,10,184.09,95.95,0,0
user_000,user_000_s00,0,11,186.89,104.92,1,0
user_000,user_000_s00,0,12,981.14,122.22,0,0
user_000,user_000_s00,0,13,213.21,84.55,0,0
user_000,user_000_s00,0,14,214.94,116.26,0,0
user_000,user_000_s00,0,15,215.6,113.38,0,0
user_000,user_000_s00,0,16,278.36,101.17,0,0
user_000,user_000_s00,0,17,184.89,88.67,0,0
user_000,user_000_s00,0,18,181.01,110.95,0,0
user_000,user_000_s00,0,19,169.95,102.12,0,0
user_000,user_000_s00,0,20,222.4,113.3,0,0
user_000,user_000_s00,0,21,241.21,110.21,0,0
user_000,user_000_s00,0,22,195.62,133.39,0,0
user_000,user_000_s00,0,23,168.98,106.38,0,0
user_000,user_000_s00,0,24,169.56,94.87,0,0
user_000,user_000_s00,0,25,223.67,112.52,0,0
user_000,user_000_s00,0,26,227.06,113.12,0,1
user_000,user_000_s00,0,27,219.72,129.83,0,0
user_000,user_000_s00,0,28,663.04,122.14,0,0
user_000,user_000_s00,0,29,208.32,115.13,0,0
user_000,user_000_s00,0,30,204.08,131.36,0,0
user_000,user_000_s00,0,31,207.82,92.45,0,0
user_000,user_000_s00,0,32,231.77,100.5,0,0
user_000,user_000_s00,0,33,208.0,96.3,0,0
user_000,user_000_s00,0,34,224.7,104.17,0,0
user_000,user_000_s00,0,35,202.28,89.69,0,0
user_000,user_000_s00,0,36,210.41,119.21,0,0
user_000,user_000_s00,0,37,222.96,106.63,0,0
user_000,user_000_s00,0,38,146.35,88.31,0,0
user_000,user_000_s00,0,39,188.08,94.99,0,0
user_000,user_000_s01,0,0,176.0,108.81,0,0
user_000,user_000_s01,0,1,181.74,128.16,0,0
user_000,user_000_s01,0,2,230.54,68.91,0,0
user_000,user_000_s01,0,3,213.5,103.09,0,0
user_000,user_000_s01,0,4,242.82,109.16,0,0
user_000,user_000_s01,0,5,188.09,110.91,0,0
user_000,user_000_s01,0,6,168.23,101.11,0,0
user_000,user_000_s01,0,7,1121.62,80.79,0,0
user_000,user_000_s01,0,8,202.66,111.38,0,0
user_000,user_000_s01,0,9,200.24,131.91,0,0
user_000,user_000_s01,0,10,153.99,84.06,0,1
user_000,user_000_s01,0,11,197.08,119.24,0,0
user_000,user_000_s01,0,12,202.13,101.75,0,0
user_000,user_000_s01,0,13,286.1,105.67,0,0
user_000,user_000_s01,0,14,262.6,91.12,0,0
user_000,user_000_s01,0,15,162.46,101.66,0,0
user_000,user_000_s01,0,16,183.22,125.64,0,0
user_000,user_000_s01,0,17,140.08,115.12,0,0
user_000,user_000_s01,0,18,172.09,131.99,0,0
user_000,user_000_s01,0,19,205.34,123.84,0,0
user_000,user_000_s01,0,20,237.99,113.01,0,0
user_000,user_000_s01,0,21,167.02,132.16,0,0
user_000,user_000_s01,0,22,169.77,113.01,0,0
